title,price,overview,popularity,release_date,runtime,tagline,,vote_average,vote_count,,original_language,original_title
Blade Runner,7.99,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,25/06/1982,117,Man has made his match... now it's his problem.,,7.9,3833,,en,Blade Runner
Thirty Two Short Films About Glenn Gould,6.99,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.",0.873068,26/11/1993,93,The sound of genius.,,7.4,9,,en,Thirty Two Short Films About Glenn Gould
The Nightmare Before Christmas,7.99,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",17.730913,09/10/1993,76,A ghoulish tale with wicked humor & stunning animation.,,7.6,2135,,en,The Nightmare Before Christmas
Tombstone,6.99,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",11.338194,25/12/1993,130,Justice is coming.,,7.4,632,,en,Tombstone
True Romance,7.99,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",17.189328,09/09/1993,120,"Stealing, Cheating, Killing. Who said romance was dead?",,7.5,762,,en,True Romance
The War Room,6.99,"A behind-the-scenes documentary about the Clinton for President campaign, focusing on the adventures of spin doctors James Carville and George Stephanopoulos.",1.273617,05/12/1993,96,They Changed The Way Campaigns Are Won,,7.3,19,,en,The War Room
Home Alone,6.99,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",0.702543,09/11/1990,103,A Family Comedy Without the Family.,,7.1,2487,,en,Home Alone
Aladdin,6.99,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,25/11/1992,90,Wish granted!,,7.4,3495,,en,Aladdin
Terminator 2: Judgment Day,7.99,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,01/07/1991,137,It's nothing personal.,,7.7,4274,,en,Terminator 2: Judgment Day
Dances with Wolves,7.99,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",11.654349,09/11/1990,181,Inside everyone is a frontier waiting to be discovered.,,7.6,1084,,en,Dances with Wolves
The Silence of the Lambs,7.99,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,01/02/1991,119,To enter the mind of a killer she must challenge the mind of a madman.,,8.1,4549,,en,The Silence of the Lambs
Beauty and the Beast,7.99,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",23.433511,13/11/1991,84,The most beautiful love story ever told.,,7.5,3029,,en,Beauty and the Beast
The Wild Bunch,7.99,"Aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang, which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson), Bishop discovers the heist is a setup orchestrated in part by his old partner, Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory, Thornton trails them, resulting in fierce gunfights with plenty of casualties",11.722424,17/06/1969,145,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH.",,7.7,266,,en,The Wild Bunch
Fargo,7.99,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",12.61469,05/04/1996,98,A lot can happen in the middle of nowhere.,,7.7,2080,,en,Fargo
Jane Eyre,6.99,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to be come a teacher and eventually seeks employment outside the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax.",2.420301,09/02/1996,112,The passionate tale of forbidden secrets!,,7.1,51,,en,Jane Eyre
The Aristocats,6.99,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.",9.834047,23/12/1970,78,A tune-filled animated extravaganza.,,7.1,1287,,en,The Aristocats
Primal Fear,6.99,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a 3rd person in the room. The intensity builds when a surprise twist alters everyone's perception of the crime.",10.326213,03/04/1996,129,"Sooner or later, a man who wears two faces forgets which one is real.",,7.4,644,,en,Primal Fear
Hostile Intentions,7.99,"A weekend of fun becomes a fight for survival when three American women land in a Mexican jail. After being sexually molested by the guards, they attempt to escape with the help of a fellow prisoner.",0.062388,01/01/1995,90,A night of adventure becomes one woman's desperate fight for survival.,,8,1,,en,Hostile Intentions
The Run of the Country,7.99,"An Irish lad (Matt Keeslar) who fled from his oppressive, widowed father (Albert Finney) falls for a girl (Victoria Smurfit) from an affluent family.",0.117662,22/09/1995,0,An unforgettable romance,,8,2,,en,The Run of the Country
Dead Man,6.99,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.",6.505272,23/12/1995,121,No one can survive becoming a legend.,,7.2,397,,en,Dead Man
A Close Shave,7.99,"Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.",6.796858,24/12/1995,30,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,,7.5,223,,en,A Close Shave
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7.99,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",9.80398,29/01/1964,95,The hot-line suspense comedy,,8,1472,,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Trainspotting,7.99,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",19.348466,23/02/1996,93,Choose life.,,7.8,2737,,en,Trainspotting
Stonewall,6.99,A group of homosexual people try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,0.940228,01/10/1995,99,The fight for the right to love,,7.2,10,,en,Stonewall
